pnum,mode,diff_p10,diff_p30,diff_p50,diff_p70,diff_p90
1,overall,0.20600000000000007,0.2467999999999999,0.29100000000000004,0.37019999999999975,0.5401
1,accurate,0.20510000000000006,0.246,0.2955000000000001,0.3770000000000001,0.5359
1,error,0.22490000000000004,0.26570000000000005,0.30800000000000005,0.3781,0.6443
2,overall,0.18800000000000006,0.19330000000000014,0.20700000000000007,0.2247,0.2586999999999997
2,accurate,0.18500000000000005,0.1844,0.21000000000000008,0.2271000000000002,0.2577000000000025
2,error,0.2077,0.20350000000000013,0.20850000000000013,0.22729999999999995,0.349
3,overall,0.18729999999999997,0.20699999999999996,0.242,0.29399999999999993,0.40769999999999995
3,accurate,0.1846,0.20199999999999996,0.2370000000000001,0.28859999999999986,0.39080000000000004
3,error,0.18879999999999997,0.21239999999999992,0.2779999999999999,0.32089999999999996,0.5476999999999996
4,overall,0.18230000000000002,0.21100000000000008,0.237,0.263,0.3104
4,accurate,0.17960000000000004,0.20260000000000022,0.22000000000000008,0.2520999999999999,0.2821
4,error,0.19230000000000008,0.23350000000000004,0.27749999999999997,0.3067000000000001,0.4258999999999995
5,overall,0.20499999999999996,0.2228,0.249,0.2569999999999999,0.27319999999999967
5,accurate,0.20199999999999996,0.22100000000000009,0.25,0.2529999999999999,0.28500000000000014
5,error,0.21159999999999995,0.22919999999999996,0.259,0.2704,0.3280000000000002
6,overall,0.22399999999999998,0.271,0.3274999999999999,0.40339999999999987,0.5329999999999999
6,accurate,0.22439999999999993,0.275,0.33499999999999996,0.39880000000000004,0.5199999999999998
6,error,0.2126,0.2728999999999999,0.33799999999999997,0.46819999999999995,0.7239999999999996
7,overall,0.194,0.22760000000000014,0.29300000000000004,0.3338,0.39280000000000004
7,accurate,0.19490000000000002,0.22670000000000012,0.2895000000000001,0.3319000000000004,0.3803000000000003
7,error,0.198,0.23160000000000014,0.30800000000000005,0.3468000000000002,0.47
8,overall,0.21300000000000002,0.252,0.3135,0.39249999999999985,0.5385
8,accurate,0.21380000000000005,0.25,0.31100000000000005,0.3857999999999997,0.5464000000000001
8,error,0.20200000000000007,0.27780000000000005,0.29699999999999993,0.39980000000000004,0.4691999999999994
9,overall,0.18300000000000005,0.20300000000000007,0.236,0.2874,0.3206000000000002
9,accurate,0.18000000000000005,0.20500000000000007,0.245,0.29679999999999984,0.31499999999999995
9,error,0.1899,0.23010000000000008,0.25749999999999995,0.2743,0.33570000000000055
10,overall,0.19039999999999996,0.22799999999999998,0.28600000000000003,0.3608000000000001,0.42740000000000067
10,accurate,0.193,0.22999999999999998,0.28700000000000003,0.3638000000000001,0.43259999999999965
10,error,0.14179999999999998,0.20519999999999994,0.27949999999999997,0.36660000000000004,0.4737
